Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Moldova,38.008,,27.311,27.293,24.245,29.001,30.735,31.032,31.614,32.222,33.931,34.628,33.287,31.429,28.227,26.833,25.597,28.884,30.218,32.202,33.062,36.715,39.323,42.47,41.953,
Madagascar,46.345,,47.058,49.459,41.565,41.548,43.955,44.697,44.103,43.57,39.956,39.666,35.46,33.444,31.989,31.965,31.765,29.182,29.262,29.118,30.722,28.679,28.302,27.91,27.413,
Maldives,44.437,,44.321,44.282,40.102,38.675,37.076,32.484,32.955,36.882,36.606,36.873,33.467,32.392,36.195,35.964,32.374,30.291,29.78,37.314,44.391,44.551,42.49,42.461,41.055,
Marshall Islands,,,,,,43.618,38.203,37.6,37.76,41.119,39.429,44.394,44.286,46.985,45.543,64.332,63.53,63.499,54.877,54.95,47.358,47.322,47.31,47.268,55.764,
Mali,31.363,,32.95,33.651,36.953,37.332,37.985,37.6,36.411,37.481,36.097,37.003,34.371,35.719,34.847,35.088,34.786,33.545,32.778,32.229,32.16,29.71,30.592,30.663,28.001,
Myanmar,17.636,,17.583,17.565,15.616,15.615,15.65,16.841,16.848,16.472,23.828,23.856,21.152,24.585,26.579,27.542,30.563,32.436,32.311,32.37,35.148,28.846,24.848,25.354,22.498,
Mongolia,42.778,,45.102,41.159,41.518,37.367,36.349,34.844,34.274,36.197,35.142,36.068,35.591,36.509,36.534,35.98,35.5,37.085,36.239,35.402,35.291,34.405,34.452,35.33,38.018,
Mozambique,36.601,,34.41,35.416,33.481,34.423,35.597,37.438,38.926,36.906,34.858,34.736,36.025,32.621,30.42,30.27,27.782,28.33,30.192,30.128,32.416,31.478,29.61,29.551,26.362,
Mauritania,36.348,,42.117,42.077,36.298,34.211,35.226,36.922,31.685,33.503,35.373,36.882,32.985,31.683,29.204,28.568,31.037,30.243,29.749,27.998,31.833,30.059,30.694,31.732,28.954,
Malawi,39.598,,26.124,28.592,31.891,32.011,34.617,34.421,36.324,37.024,38.939,40.755,37.867,34.837,31.262,31.072,31.1,33.379,31.314,31.615,38.168,39.118,34.6,35.153,34.725,
Niger,27.661,,27.575,27.546,30.001,32.055,32.227,34.08,36.727,35.056,35.67,37.51,39.048,40.27,38.878,39.137,39.346,39.046,38.803,38.972,37.127,36.454,36.455,37.381,35.368,
Nigeria,18.961,,13.68,17.175,19.603,21.953,23.792,24.422,26.747,26.186,24.957,24.765,24.644,23.865,21.579,24.346,25.77,24.69,24.672,25.066,25.228,23.749,23.057,25.615,25.294,
Nicaragua,30.529,,31.159,32.773,36.612,33.531,33.079,31.238,31.14,31.299,30.685,30.677,30.786,31.343,27.707,27.278,25.708,25.667,23.197,23.467,24.832,22.806,22.66,22.353,18.855,
Nepal,37.073,,37.289,40.943,29.161,30.187,32.966,31.996,30.383,32.52,33.126,31.023,28.147,29.269,30.793,31.038,30.727,32.043,32.908,32.941,33.662,35.214,34.656,35.118,35.05,
Pakistan,28.132,,29.363,29.181,25.834,26.109,30.02,30.728,26.84,24.001,23.52,23.153,22.65,25.001,27.525,27.996,28.161,28.928,28.34,28.191,28.889,29.512,28.707,26.678,26.285,
Papua New Guinea,33.908,,30.629,30.611,25.547,23.727,26.508,26.635,25.957,25.614,28.189,28.08,27.539,27.541,28.135,28.15,27.924,27.722,28.828,27.874,36.753,34.56,35.948,35.673,31.715,
Rwanda,32.702,,33.37,33.331,40.601,40.573,43.32,45.242,48.784,48.514,53.479,53.805,56.501,56.514,57.766,57.977,59.61,58.101,56.684,57.004,58.248,57.358,58.541,61.636,60.516,
Sudan,24.258,,23.902,21.2,21.419,19.213,23.519,21.276,18.974,18.927,17.943,18.18,16.032,16.088,16.559,17.881,17.875,17.888,17.119,18.078,19.863,21.692,18.58,18.477,16.33,
Senegal,50.917,,55.214,44.522,44.738,44.126,41.907,40.441,40.304,38.856,36.523,40.326,42.574,43.365,48.576,49.487,48.493,47.496,48.404,47.848,47.54,48.585,48.198,48.626,50.143,
Solomon Islands,46.879,,46.575,46.493,43.935,46.969,42.11,38.129,39.289,41.423,39.525,39.2,39.735,39.656,39.762,39.734,39.537,44.83,44.863,47.864,47.336,44.316,44.308,44.283,45.019,
Sierra Leone,34.285,,31.573,31.409,31.002,26.826,27.37,28.485,29.823,32.542,35.065,34.36,32.287,31.629,30.807,31.686,31.122,34.392,37.095,37.473,38.521,38.179,36.655,36.344,33.64,
Serbia,24.17,,24.27,32.682,35.51,35.209,43.065,41.561,41.56,41.093,40.448,41.131,39.906,40.393,43.384,41.299,40.755,39.592,40.022,40.496,40.401,38.325,38.04,37.7,36.503,
South Sudan,,,,,,,,,,,43.52,23.007,20.695,19.039,13.074,12.012,11.583,12.307,10.804,9.676,11.282,10.946,10.183,9.853,6.062,
Sao Tome and Principe,52.233,,52.117,46.192,41.32,39.411,38.56,40.241,41.958,42.985,43.301,44.656,44.632,43.933,46.222,46.24,45.488,49.801,51.024,51.417,49.661,51.135,50.787,50.321,51.583,
Suriname,59.81,,54.473,54.443,53.073,53.63,50.676,49.725,50.028,45.625,44.566,44.856,45.054,44.585,41.347,43.765,44.237,43.899,42.012,42.149,41.729,41.548,41.601,41.191,40.226,
Eswatini,47.22,,47.103,47.064,41.715,41.695,49.531,49.495,51.665,50.645,45.993,45.183,45.599,45.133,42.1,42.213,42.311,46.071,42.34,41.844,41.754,36.101,35.536,35.118,31.962,
Syrian Arab Republic,25.997,,32.627,28.61,28.302,28.488,28.406,26.065,25.624,26.687,25.781,25.453,23.764,23.396,16.872,16.87,15.639,15.629,15.645,14.339,13.7,11.608,11.573,11.789,13.411,
Chad,21.467,,21.351,17.788,21.4,18.623,21.655,20.051,16.701,17.58,19.608,20.214,19.993,18.882,17.943,17.137,17.433,18.358,18.294,17.938,17.853,17.653,18.173,17.72,19.701,
Togo,32.327,,29.615,29.585,29.176,28.926,26.155,26.883,26.8,26.939,31.942,30.655,31.279,30.765,31.831,35.086,34.628,33.066,32.573,33.551,34.803,34.658,35.083,35.954,34.427,
Tajikistan,19.044,,21.201,21.165,20.937,21.38,26.174,26.338,22.434,22.185,19.992,22.741,21.327,20.886,22.755,23.477,23.846,23.296,20.564,22.104,25.916,25.843,25.123,25.111,23.206,
Timor-Leste,,,46.745,44.635,44.544,41.319,39.406,37.787,37.968,32.88,33.214,31.262,31.507,32.968,34.7,34.765,34.896,34.075,35.924,38.977,39.267,41.744,38.733,39.221,40.213,
Tonga,,,,,49.806,20.898,21.012,26.426,34.903,35.312,43.147,43.361,43.304,43.309,36.03,35.834,35.87,43.072,46.134,38.967,42.153,40.917,37.797,37.841,39.774,
Tuvalu,,,,,61.289,46.899,47.059,45.748,45.779,45.778,45.796,45.75,43.178,43.183,46.927,46.981,47.025,46.994,47.047,55.795,52.008,51.973,52.806,52.764,59.569,
Tanzania,33.166,,32.517,33.286,35.61,34.312,43.494,41.528,40.819,40.276,37.868,37.193,35.337,34.635,35.079,36.063,39.04,40.761,40.981,42.128,42.712,40.739,40.586,40.846,41.902,
Uganda,24.965,,24.632,25.831,31.01,29.695,34.826,33.359,33.538,32.485,32.461,31.785,30.513,28.944,27.847,27.351,27.721,27.273,27.014,25.539,28.906,28.985,27.836,27.68,25.262,
Uzbekistan,21.728,,25.791,25.472,22.683,18.747,23.204,23.178,23.12,20.06,20.086,18.661,20.148,22.346,22.836,22.369,22.992,22.657,23.339,25.135,30.939,32.837,33.703,33.65,32.586,
Viet Nam,32.523,,31.643,34.208,31.561,31.84,36.089,39.236,40.649,41.45,39.523,40.592,38.492,39.415,40.529,40.215,40.635,39.276,39.857,40.524,41.516,41.566,42.876,41.612,42.76,
Vanuatu,50.756,,50.516,50.433,46.072,54.16,54.24,56.192,56.206,56.206,56.013,55.992,56.159,56.749,57.47,45.956,45.467,46.511,44.083,44.107,47.314,47.126,45.107,44.104,44.806,
Samoa,46.66,,46.473,46.409,44.447,53.359,53.472,53.391,53.413,52.041,51.569,51.542,51.485,51.489,51.439,51.484,51.675,60.32,60.373,60.446,64.269,63.375,63.363,64.43,61.783,
"Yemen, Rep.",29.471,,26.192,25.313,24.272,26.061,31.513,30.912,32.334,28.771,26.545,25.09,22.488,23.263,17.459,17.786,15.264,15.651,12.371,12.6,15.474,15.629,14.127,15.426,14.742,
Zambia,29.084,,31.625,31.472,35.597,35.63,39.919,40.827,40.853,41.6,40.385,42.316,42.403,41.678,39.952,39.856,39.276,38.462,35.375,34.787,35.607,33.83,39.392,39.796,38.608,
Zimbabwe,22.004,,20.178,19.156,19.379,17.514,20.076,19.456,16.777,16.558,18.126,18.4,20.956,19.563,17.546,21.482,21.533,21.697,21.316,21.877,24.113,23.833,23.596,23.738,22.519,
