Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Rwanda,3.434,4.825,,,,,,3.985,3.502,,4.631,4.383,4.421,4.742,4.196,3.647,3.435,3.125,3.074,3.238,3.333,5.59,4.742,4.92,4.615,
Sudan,1.012,,1.164,,1.313,1.178,1.554,,1.852,2.022,,,,,,,,,,,,,,,,
Senegal,2.463,2.472,2.594,2.751,3.078,4.064,3.821,,4.026,4.921,0.545,4.903,4.777,5.687,5.729,5.456,5.113,4.74,5.11,5.035,5.687,5.612,5.952,6.163,,
Solomon Islands,,,,,,,,7.333,6.895,6.659,7.478,,,,,,,,,,9.644,8.332,8.487,8.293,,
Sierra Leone,4.949,2.226,2.298,2.109,2.012,1.814,,1.52,1.454,1.724,1.566,1.615,1.778,1.561,1.738,3.218,1.848,3.015,4.468,4.652,5.347,5.593,4.908,2.625,,
Serbia,,,,,,,,4.049,,4.313,,4.074,,,,,3.503,3.565,3.437,3.459,,3.146,3.083,3.404,,
South Sudan,,,,,,,,,,,1.045,0.963,1.577,1.025,1.232,1.466,1.565,,,,,,,,,
Sao Tome and Principe,,,2.721,3.247,3.235,4.856,4.271,6.287,5.554,9.994,9.988,8.794,6.928,6.685,4.432,4.698,6.115,5.875,5.625,6.106,5.029,5.54,5.194,5.029,,
Suriname,,,,,,,,,,,,,,,,5.535,5.641,5.459,4.923,6.779,4.584,4.132,3.435,2.866,,
Eswatini,5.508,4.838,4.441,5.817,5.402,6.485,6.555,,6.618,6.471,6.118,6.864,5.593,5.085,7.281,5.355,5.434,6.178,5.737,5.699,5.325,5.287,5.573,5.004,6.031,
Syrian Arab Republic,,4.546,5.27,6.481,5.371,,5.28,4.865,4.595,5.13,,,,,,,,,,,,,,,,
Chad,2.647,2.426,,,1.593,1.302,,,,1.744,1.504,1.647,1.525,2.067,2.32,2.343,2.388,1.839,2.259,2.372,2.74,2.016,2.602,3.201,,
